Admin2,Series_Complete_Pop_Pct
Alachua  ,58.5
Baker  ,29.9
Bay  ,43
Bradford  ,36.8
Brevard  ,55.9
Broward  ,61
Calhoun  ,30.6
Charlotte  ,58.1
Citrus  ,50.7
Clay  ,42.2
Collier  ,62.2
Columbia  ,36.7
DeSoto  ,38.7
Dixie  ,29.9
Duval  ,52.1
Escambia  ,45.9
Flagler  ,56.2
Franklin  ,42.5
Gadsden  ,50.9
Gilchrist  ,31.8
Glades  ,29.1
Gulf  ,44.5
Hamilton  ,31.6
Hardee  ,35.6
Hendry  ,40.4
Hernando  ,47.6
Highlands  ,44.6
Hillsborough  ,51.8
Holmes  ,25.4
Indian River  ,59
Jackson  ,36.2
Jefferson  ,53.1
Lafayette  ,34.6
Lake  ,58.2
Lee  ,54.4
Leon  ,49.8
Levy  ,40.7
Liberty  ,31.1
Madison  ,37.4
Manatee  ,53.5
Marion  ,50.1
Martin  ,56.5
Miami-Dade  ,72.5
Monroe  ,67.5
Nassau  ,51
Okaloosa  ,48.4
Okeechobee  ,40.4
Orange  ,59
Osceola  ,60.8
Palm Beach  ,58.1
Pasco  ,50.6
Pinellas  ,57.3
Polk  ,48.2
Putnam  ,34.8
Santa Rosa  ,42.8
Sarasota  ,62.5
Seminole  ,54
St. Johns  ,61.6
St. Lucie  ,50.1
Sumter  ,73.8
Suwannee  ,33
Taylor  ,34.2
Union  ,31.6
Volusia  ,52.7
Wakulla  ,39.2
Walton  ,40.7
Washington  ,27.7
